Provider_ID,Provider_Name,Specialty,Phone,Email,Experience_Years,Department_ID,Status
PROV0001,Brian Nguyen,Gynecology,7938317742,travis38@example.com,14,DEPT011,Active
PROV0002,Edward Lam,Gynecology,6736846251,qellis@example.net,1,DEPT010,Active
PROV0003,Katrina Adams,Cardiology,2002571267,iwalker@example.org,9,DEPT002,Inactive
PROV0004,Christine Cook,ENT,7116624408,melissa71@example.com,2,DEPT007,Inactive
PROV0005,Jordan Murphy,Oncology,9748792601,rlewis@example.org,15,DEPT015,Inactive
PROV0006,Alison Roth,Pediatrics,3233494203,josephmurray@example.net,16,DEPT012,Inactive
PROV0007,Oscar Martin,Gynecology,0760462194,kwiggins@example.net,2,DEPT017,Inactive
PROV0008,Michael Holland,Urology,1446543214,reeddominic@example.net,21,DEPT001,Active
PROV0009,Carla Thompson,Dermatology,6873948026,bryanhansen@example.com,18,DEPT006,Inactive
PROV0010,Christopher Burke,Dermatology,2664333860,sandrabaxter@example.org,6,DEPT011,Inactive
PROV0011,Tammy Williams,Orthopedics,6329939667,travisflores@example.org,11,DEPT016,Inactive
PROV0012,Brian Gould,Orthopedics,3000793478,jennifer36@example.net,10,DEPT007,Active
PROV0013,Misty Walker,Gynecology,7889900810,timothygriffin@example.net,2,DEPT019,Inactive
PROV0014,Michelle Carlson,Oncology,5443294616,chenderson@example.net,18,DEPT013,Inactive
PROV0015,Michelle Sloan,Dermatology,0165951593,phillipsfelicia@example.net,27,DEPT011,Active
PROV0016,Mr. Raymond Smith Jr.,Dermatology,1125025101,markrose@example.org,13,DEPT002,Active
PROV0017,Jason Baker,Emergency,8670592529,fitzgeraldwilliam@example.com,31,DEPT018,Active
PROV0018,Jeffrey Jones,Orthopedics,5805104758,coxjanet@example.net,22,DEPT014,Inactive
PROV0019,Linda Bryant,Dermatology,7901787470,wmyers@example.org,12,DEPT006,Active
PROV0020,Kevin Randall,Radiology,0999474768,cruzsonya@example.org,11,DEPT006,Inactive
PROV0021,Ryan Little,Oncology,5085037304,zunigamatthew@example.org,24,DEPT015,Inactive
PROV0022,Jessica Jordan,Pediatrics,9604491728,scottjohnson@example.com,10,DEPT004,Inactive
PROV0023,Kimberly Crawford,Radiology,5961428507,nguzman@example.org,24,DEPT014,Active
PROV0024,Christopher Mack,Gynecology,8429086079,newmanamy@example.net,26,DEPT013,Inactive
PROV0025,Jonathan Marshall,Cardiology,7688000699,christina78@example.com,14,DEPT002,Active
PROV0026,Joshua Campbell,ENT,3484553446,melinda32@example.com,7,DEPT001,Active
PROV0027,Andrea Garcia,General Medicine,6770601040,suttonvictoria@example.org,6,DEPT005,Inactive
PROV0028,Nathan Fry,Radiology,2326629452,jonathan93@example.net,10,DEPT011,Active
PROV0029,Ashley Cross,Radiology,7147702771,willissean@example.org,8,DEPT007,Inactive
PROV0030,Tina Jacobson,ENT,8737233385,shelbymorgan@example.net,30,DEPT007,Active
PROV0031,Andrea Nelson,Cardiology,1741367069,carrkevin@example.org,1,DEPT012,Active
PROV0032,William Hernandez,Pediatrics,1098801748,phillipjohnson@example.com,5,DEPT018,Active
PROV0033,Joshua Carey,Radiology,8897418071,brianphillips@example.com,28,DEPT013,Active
PROV0034,Joseph Davis,Gynecology,8388694769,courtney40@example.com,3,DEPT011,Active
PROV0035,Nicole Barnett,Orthopedics,7764632476,marcia88@example.net,30,DEPT016,Active
PROV0036,Paul Jensen,Oncology,7560687465,john38@example.net,14,DEPT015,Inactive
PROV0037,Christina Byrd,Cardiology,1126937680,calvin60@example.org,35,DEPT003,Active
PROV0038,Jessica Hart,Gynecology,9365769515,kevinhall@example.org,9,DEPT003,Active
PROV0039,Michelle Moore,Oncology,7112416538,aguirresean@example.com,14,DEPT020,Active
PROV0040,Alexis Oneal,Urology,6442467783,torresstephanie@example.net,17,DEPT011,Inactive
PROV0041,Amanda Black,Emergency,9077785260,urodriguez@example.net,8,DEPT008,Inactive
PROV0042,Jason Perry,Neurology,3844466207,dorothy61@example.net,10,DEPT019,Active
PROV0043,Shelley Gonzalez,Gynecology,6204052056,stacywright@example.com,8,DEPT017,Active
PROV0044,James Brown,Cardiology,8926465238,nolanjeremy@example.net,1,DEPT001,Active
PROV0045,Katrina Taylor,Emergency,1613581702,xthompson@example.com,9,DEPT017,Active
PROV0046,Hannah Larson,Pediatrics,1145096180,chennicole@example.org,33,DEPT004,Active
PROV0047,Steven Ruiz,ENT,1785323438,ashley65@example.net,6,DEPT003,Active
